Order ID,Order Date,Region,Category,Sub-Category,Sales,Profit
ORD-1001,16-10-2024,West,Technology,Accessories,430.94,80.23
ORD-1002,17-08-2023,West,Furniture,Chairs,148.75,13.13
ORD-1003,27-08-2024,East,Furniture,Tables,564.96,80.28
ORD-1004,27-08-2023,East,Furniture,Tables,134.37,-1.75
ORD-1005,27-10-2024,Central,Office Supplies,Art,143.67,-4.75
ORD-1006,26-08-2024,West,Technology,Accessories,843.66,40.17
ORD-1007,15-12-2024,East,Furniture,Tables,100.26,-11.98
ORD-1008,11-12-2023,West,Office Supplies,Storage,105.95,17.78
ORD-1009,19-12-2023,East,Technology,Copiers,246.94,52.13
ORD-1010,03-07-2024,West,Technology,Phones,304.22,89.67
ORD-1011,19-07-2024,West,Office Supplies,Storage,173.63,46.56
ORD-1012,14-08-2024,West,Furniture,Tables,252.95,12.48
ORD-1013,24-10-2023,South,Technology,Phones,346.05,26.96
ORD-1014,25-01-2024,West,Office Supplies,Storage,825.27,177.84
ORD-1015,16-06-2023,East,Furniture,Bookcases,349.33,24.65
ORD-1016,19-12-2024,South,Office Supplies,Paper,48.93,-0.33
ORD-1017,30-06-2024,Central,Furniture,Furnishings,116.31,20.57
ORD-1018,04-10-2023,South,Office Supplies,Paper,43.39,5.67
ORD-1019,02-12-2024,West,Technology,Phones,249.08,65.05
ORD-1020,23-08-2023,Central,Technology,Copiers,315.29,91.05
ORD-1021,02-10-2023,West,Technology,Machines,153.78,26.0
ORD-1022,06-08-2023,Central,Office Supplies,Art,30.54,6.35
ORD-1023,27-05-2023,West,Furniture,Bookcases,93.49,-8.75
ORD-1024,21-08-2024,East,Office Supplies,Storage,269.54,38.74
ORD-1025,13-08-2023,South,Furniture,Furnishings,202.43,-5.55
ORD-1026,04-04-2023,Central,Technology,Accessories,538.19,125.84
ORD-1027,04-10-2024,West,Office Supplies,Binders,8.21,1.53
ORD-1028,30-01-2024,East,Technology,Machines,75.61,23.0
ORD-1029,20-07-2024,South,Furniture,Chairs,133.15,12.36
ORD-1030,29-11-2024,South,Technology,Machines,147.34,40.43
ORD-1031,25-04-2023,West,Furniture,Chairs,124.27,-1.27
ORD-1032,27-09-2023,South,Technology,Phones,282.64,89.26
ORD-1033,02-10-2024,West,Office Supplies,Paper,115.35,18.58
ORD-1034,06-06-2023,East,Furniture,Chairs,505.3,35.91
ORD-1035,05-09-2024,West,Furniture,Bookcases,218.77,2.34
ORD-1036,11-11-2023,West,Furniture,Chairs,541.02,8.1
ORD-1037,29-03-2023,Central,Technology,Accessories,212.47,37.51
ORD-1038,12-05-2023,Central,Technology,Accessories,156.12,26.71
ORD-1039,29-09-2023,East,Office Supplies,Paper,137.02,20.87
ORD-1040,06-07-2024,Central,Office Supplies,Storage,55.2,12.82
ORD-1041,13-02-2024,South,Office Supplies,Art,17.19,2.03
ORD-1042,13-06-2024,East,Furniture,Chairs,228.84,-0.44
ORD-1043,13-12-2023,West,Office Supplies,Paper,151.26,21.8
ORD-1044,08-01-2023,West,Office Supplies,Paper,221.88,26.49
ORD-1045,11-03-2023,South,Technology,Phones,418.1,115.06
ORD-1046,10-06-2024,West,Office Supplies,Paper,90.93,20.98
ORD-1047,06-07-2024,West,Technology,Copiers,730.87,306.27
ORD-1048,06-09-2023,Central,Technology,Accessories,144.06,42.11
ORD-1049,07-04-2023,West,Office Supplies,Art,187.78,14.97
ORD-1050,25-02-2024,East,Technology,Phones,272.29,44.5
ORD-1051,04-03-2023,East,Office Supplies,Binders,62.84,9.92
ORD-1052,12-09-2023,West,Office Supplies,Paper,426.72,45.71
ORD-1053,08-03-2024,West,Office Supplies,Binders,92.48,8.71
ORD-1054,29-03-2024,Central,Technology,Phones,161.08,41.17
ORD-1055,21-02-2023,Central,Office Supplies,Binders,142.24,31.94
ORD-1056,06-04-2023,South,Technology,Accessories,156.1,28.01
ORD-1057,21-02-2024,East,Furniture,Furnishings,255.56,36.75
